slug,title,video_src,video_title,primary_slider_id,secondary_slider_id
diamantista-live,diamantista live,/images/diamantista.mp4,Diamantista live clip,,
licitir-live,LICITIR live,https://www.youtube.com/embed/vF7xEWjdFu0,LICITIR live,,
pastoral-live,.pastoral live,https://www.youtube.com/embed/WtsBI93REOU?start=2748,Pastoral live,pastoral-performance,pastoral-gallery

