order,href,title,image
1,https://ruego.bandcamp.com/album/rg25,diamantista - LOVE IS VITAL,/images/diamantista%20ep.webp
2,https://ruego.bandcamp.com/album/tomorrow-we-dream-of-sleeping-in-a-garden-of-camellias-rg26,LICITIR - Tomorrow we dream of sleeping in a garden of camellias,/images/licitir%20ep.webp
3,https://ruego.bandcamp.com/album/un-coraz-n-mustio-y-marchito-por-culpa-de-las-tribulaciones-y-los-padecimientos-rg19,.pastoral - Un corazón mustio y marchito por culpa de las tribulaciones y los padecimientos,/images/pastoral%20ep.webp

